,,,psnr_y,psnr_u,psnr_v,overall_psnr,ssim_y,ms_ssim_y,vmaf,vmaf_neg,psnr_hvs,ciede2k,apsnr_y,apsnr_u,apsnr_v,overall_apsnr
,,,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
tag,cfg,class,,,,,,,,,,,,,,
v3.0.0,RA,G1,-15.588225,-27.6528,-35.598225,-17.200975,-13.4961,-14.0535,-22.6599,-21.760625,-14.7147,-20.61055,-15.75925,-27.939799999999998,-35.553525,-16.694475
v3.0.0,RA,G2,-13.381757142857142,-27.841785714285717,-33.597942857142854,-15.079442857142856,-13.133242857142857,-13.3616,-18.867414285714286,-17.948242857142855,-12.963700000000001,-17.807771428571428,-13.323314285714286,-28.6205,-33.82375714285714,-13.7674
v3.0.0,Still,F1,-3.8400250000000002,-16.10824285714286,-18.82197857142857,-5.164110714285714,-4.148792857142857,-4.065971428571428,-5.008253571428571,-4.833725,-5.018925,-7.2773071428571425,-3.8400250000000002,-16.10824285714286,-18.82197857142857,-4.403878571428572
v3.0.0,Still,F2,-5.465355172413792,-12.558193103448275,-15.849755172413794,-6.527713793103448,-4.842237931034483,-5.369993103448277,-4.52288275862069,-4.512144827586207,-5.801531034482759,-7.913006896551725,-5.465355172413792,-12.558193103448275,-15.849755172413794,-5.724413793103449
v4.0.0,AI,A1,-10.8684875,-20.8516875,-23.9733375,-12.292125,-8.3570875,-10.401925,-11.9158375,-11.5706125,-10.8471,-16.76265,-10.8644375,-20.851512500000002,-23.960175,-12.5476875
v4.0.0,AI,A2,-9.763652631578948,-21.07657894736842,-25.731147368421052,-11.105210526315789,-8.406115789473683,-9.369194736842106,-10.426373684210526,-9.89186842105263,-8.85001052631579,-13.947799999999999,-9.765073684210527,-21.06814736842105,-25.734947368421054,-10.865278947368422
v4.0.0,AI,A3,-9.976099999999999,-24.031875,-27.7698125,-11.534062500000001,-9.347312500000001,-9.495075,-9.787325,-9.500475,-9.97355,-15.215625,-9.9759125,-24.034599999999998,-27.7780625,-11.079225000000001
v4.0.0,AI,A4,-8.719716666666667,-28.00276666666667,-36.7618,-10.777566666666667,-10.825666666666669,-9.053700000000001,-8.412833333333333,-7.991316666666666,-7.652550000000001,-14.525333333333334,-8.715733333333333,-28.014233333333333,-36.58166666666667,-9.901716666666667
v4.0.0,AI,A5,-6.597575,-23.687649999999998,-21.75605,-8.206199999999999,-7.794975,-7.41075,-7.578150000000001,-7.462375,-7.89045,-12.677975,-6.5922,-23.750574999999998,-21.79465,-7.373675
v4.0.0,AI,B1,-12.51795,-26.397969999999997,-27.63342,-14.090709999999998,-11.371410000000001,-12.493820000000001,-11.507990000000001,-11.05605,-11.50732,-18.03766,-12.51878,-26.455399999999997,-27.60591,-13.91692
v4.0.0,AI,B2,-20.362155555555557,-36.98934444444444,-38.33462222222222,-22.204833333333333,-21.825366666666667,-22.224366666666665,-18.449566666666666,-18.285455555555554,-22.42658888888889,-31.495311111111114,-20.473322222222222,-37.06916666666667,-38.36646666666667,-22.271366666666665
v4.0.0,AI,E,-9.78496875,-22.90984375,-23.6906,-11.6023,-8.3423375,-9.01730625,-11.9895875,-11.73796875,-10.243425,-14.001362499999999,-9.6741125,-22.97610625,-23.63298125,-10.56061875
v4.0.0,AI,G1,-12.102425,-33.69715,-51.934,-15.951274999999999,-8.3453,-10.80645,-12.878775,-12.706625,-11.80535,-23.80975,-12.107825,-33.79925,-51.86625,-14.512875
